题干,选项A,选项B,选项C,选项D,选项E
第二肝门的解剖结构组成是哪一项：（   ）,肝左、肝中、肝右静脉,门静脉、下腔静脉及肝门淋巴结,门静脉及下腔静脉,门静脉、下腔静脉及胆管,门静脉、肝动脉及胆管
关于肝门部结构的描述，哪一项不正确：（   ）,门静脉由脾静脉和肠系膜下静脉汇合而成,肝动脉位于门静脉的前内侧,肝总管在门静脉的前外侧,肝静脉在第二肝门处汇入下腔静脉,正常时肝内胆管不显示
肝脏伸入到门静脉和下腔静脉之间的乳状突属于：（   ）,肝方叶,肝尾叶,肝右后叶,左肝外叶,以上都不是
属静脉肾盂造影禁忌证的是,肾盂结石,膀脱结石,肾动脉狭,尿道狭窄,严重血尿
以下哪项临床表现不属于血管内应用碘对比剂的副反应,呕吐,荨麻疹,腹泻,球结膜水肿,面部潮红
常用CT影像后处理的方法是,最大密度投影，曲面重组，骨算法重建,表面阴影显示，骨算法重建，曲面重组,最大密度投影，曲面重组，表面阴影显示,最大密度投影，双相增强CT扫描，表面阴影显示,表面阴影显示，骨算法重建，曲面重组
X线穿过均匀物质时，其衰减与下列哪一项因素有关,物质与X线源的距离,物质的衰减系数,物质的面积,X线束的层厚,X线的曝光时间
下列用于减少CT影像运动伪影的方法，不正确的是,减少或不做吞咽动作,提高扫描速度,降低X线扫描剂量,检查前训练患者呼吸,儿科患者服用镇静剂
膀胱CT扫描的主要目的是：（   ）,早期诊断,显示肿瘤突入腔内的情况,良恶性肿瘤的鉴别诊断,肿瘤与非肿瘤性病变的鉴别诊断,显示肿瘤侵犯膀胱周围组织和淋巴结转移
膀胱癌最常见的起始症状是：（   ）,尿频、尿痛,排尿困难,血尿,腹部肿块,尿路梗阻
下列哪项不是膀胱癌的起始症状,血尿,尿频和尿急,排尿困难,下腹肿块,排出肿瘤碎屑
膀胱癌的起始症状不可能是：（   ）,血尿,尿频、尿痛,排尿困难,充溢性尿失禁,下腹部肿块
CT在膀胱癌诊断上的主要作用是,区别肿瘤浸润膀胱壁的深度,对膀胱癌各期的准确分型,发现膀胱壁局限性增厚或结节,对淋巴结是否转移作出精确判断,确定是否伴有尿路梗阻
将X线束中的低能成分预吸收的措施是,遮光筒,滤过板,遮线器,滤线栅,缩小照射野
关于照片影像对比度的叙述，错误的是,乳腺选用低电压为提高影像对比,离体的肺组织照片对比低,骨骼照片有良好的对比,消化道组织本身影像对比最好,高电压摄影影像对比低
为了减少辐射剂量，CT透视时应当严格控制,球管电压,扫描范围,扫描层厚,曝光时间,球管旋转速度
对CT增强扫描原理和意义的论述错误的是,对比剂使病变组织的密度、形态、大小、显示更为突出,当两种组织对X线的吸收差加大时，图像对比增加,不同的病变性质对对比剂吸收数量和分布不同,不同的组织结构对对比剂吸收数量和分布不同,增强扫描主要是增加组织间的天然对比
颞颌关节CT平扫检查，患者需要做的准备是,大量饮水,去除耳部金属饰物,碘过敏试验,禁食,屏气训练
骨髓的主要成分是：（   ）,红细胞,脂肪细胞,白细胞,网状细胞,神经纤维
怀疑股骨头无菌坏死，CT检查不易显示：（   ）,小囊性变,骨质疏松,小裂纹骨折,小梁密度增高,关节面软骨破坏
股骨头坏死CT检查不适用于：（   ）,观察圆韧带损伤,观察关节面下骨质疏松或囊变,观察股骨头关节面塌陷,观察骨折,观察新生骨
股骨头无菌坏死早期诊断最佳的影像检查方法是：（   ）,CT平扫,X线平片,MRI,核医学,血管造影
早期股骨头无菌坏死的首选检查方法是哪一种：（   ）,CT平扫,CT增强,CT平扫+增强,MRI,X线平扫+体层
根据CT工作原理，X射线穿过人体后最先被下面哪一部分接收,探测器,阵列处理器,磁盘,计算机,照相机
关于碘过敏反应的描述错误的是,造影前用抗过敏药可减少碘过敏发生,碘过敏阴性则不会发生碘过敏反应,用同一批号碘造影剂也要做碘过敏试验,多见于血管内给予含碘造影剂,检查室应备足抢救设备和药品
对比度分辨率的概念正确的是,对于物体空间大小的鉴别能力,对比度分辨率就是空间分辨率,能分辨最低密度差别的能力,单位长度内能观察到的线对数,对比度分辨率就是影像的对比度
固体探测器的主要优点是,对X线的不感应区较大,整个阵列中的探测器不容易做到完全一致,晶体发光后余晖较长,有较高的光子转换效率,相邻探测器之间存在缝隙
血管内造影剂浓度高且持续时间长的造影剂注射方法是,多次大剂量急速注射法,大量快注-滴注法,团注法,滴注-大量快注法,点滴灌注法
可诊断颈椎椎管狭窄的CT测量值是：（   ）,C2水平椎管前后径15mm,C3水平硬膜囊前缘前后径13mm,C4水平椎管前后径10mm,C5水平硬膜囊前缘前后径11mm,C6水平椎管前后径13mm
腰椎椎管前后径CT测量值的正常范围是：（   ）,25～30mm,15～25mm,12～15mm,10～12mm,8～10mm
有关腰椎椎管CT检查和测量，错误的是：（   ）,前后径指测量椎体后缘中点至棘突基底部中线部位的距离,横径指测量两椎弓根内缘之间的距离,前后径正常范围在15～25mm,横径正常范围在20～30mm,CT增强扫描较平扫更精确
关于脊髓蛛网膜炎，下列影像学检查方法最佳的是：（   ）,X线平片,CT平扫,增强CT,CTA,CT脊髓造影
颈1、2椎管前后径不应小于：（   ）,11mm,12mm,13mm,14mm,15mm
不属于图像后处理方法的是,最大密度投影,容积再现,反投影重建,多平面重组,仿真内窥镜
不能显示内听道影像的摄影体位是,乳突侧位,斯氏位,汤氏位,颅底位,经眶位
关于肾盂造影的叙述，错误的是,静脉法简单易行,静脉法必须行碘过敏试验,能显示肾盂、肾盏的形态变化,肾功能丧失时尽量采用静脉法,静脉法可了解肾功能
选择性DSA导管先端位置确定的主要依据是,病变的性质,血管的粗细,病变的大小,病变的范围,血流动力学变化
双侧大脑半球最大的连接结构,大脑镰,透明隔,桥脑,胼胝体,内囊
CT前准直器的作用,扫描的范围,相邻两个扫描层面的距离,控制辐射剂量,X线管焦点距离,控制扫描准直层厚
当层厚选用5mm，螺距等于1.0时，表明球管每旋转360°，检查床前进,0mm（床不动）,10mm,5mm,15mm,以上都不对
骨骼摄影距离最佳选择是,150cm,100cm,80cm,90cm,70cm
SSD方法的优点不包括,三维效果明显,立体感强,对于体积、距离测量准确,可实施三维图像操作,能显示病灶内部结构，并提供病灶的密度信息
有关像素和体素的不准确的概念是,像素实际上是体素在成像时的表现,像素是按矩阵排列的基本成像单位,体素是一个三维概念,像素越小，图像的分辨率相对越高,CT图像的基本组成单元称为体素
下面哪种疾病是慢性肺源性心脏病的最常见原发病(  )。,慢性支气管炎并发阻塞性肺气肿,支气管哮喘,肺结核,胸廓畸形,支气管扩张
小叶中心型肺气肿的典型CT表现包括(  )。,胸膜下多发小透亮低密度灶,肺内散在分布的小圆形、无壁的低密度区,广泛肺大疱形成,肺低密度区分布以下肺、前部肺实质明显,蜂窝样改变
8岁小儿，患急性传染病后，又出现气急、发绀、咳嗽、鼻翼扇动等症状，而呼吸体征少。X线片主要表现为肺纹理增强、网状及小结节状影、肺气肿等。该病最可能诊断为(  )。,大叶性肺炎,化脓性肺炎,过敏性肺炎,间质性肺炎,放射性肺炎
关于横膈附近的胸腔积液的CT表现，错误的是(  )。,胸水可将横膈衬托出来，表现为线样弧线影,胸腔积液位于膈影外侧,常规扫描胸水与肝的交界面模糊，薄层高分辨扫描时，界面模糊征不复存在,积液量多时膈脚向前外侧移位,肝脏的后内缘见到液体积聚提示为胸水
X线胸片显示病理性第三弓指的是(  )。,右室增大,肺动脉增粗,左室增大,左心耳突出,以上均不是
Ebstein畸形的X线表现中，哪项错误(  )。,右心房明显增大,左心房明显增大,三尖瓣下移畸形,肺血减少,肺动脉段平直或凹陷
肺癌最常见的转移途径是(  )。,血行转移,直接蔓延,支气管播散,淋巴转移,种植转移
体循环起于(  )。,右心室,右心房,左心室,左心房,主动脉
女，42岁，胸痛3天，CT检查示右肺中叶近外侧胸壁处类圆形病灶，边界清楚，无钙化，邻近胸膜增厚，增强扫描呈厚壁环样强化。为明确诊断应采取的最佳措施是,纤维支气管镜检查,MRI,PPD,抗炎治疗后复查,ESR
在肺癌的TNM分期中T1NxM0是指(  )。,肿瘤最大直径≤3cm，未见区域性淋巴结转移，无远离原发灶部位的转移,肿瘤最大直径＞3cm，未见区域性淋巴结转移，无远离原发灶部位的转移,肿瘤最大直径≤3cm，未见区域性淋巴结转移，无脑的转移,肿瘤最大直径≤3cm，区域性淋巴结不能评价，无远离原发灶部位的转移,肿瘤最大直径≤2.5cm，区域性淋巴结不能评价，无远离原发灶部位的转移
肺炎病程在几周内未全部吸收称为慢性肺炎(  )。,4周,1周,3周,2周,5周
下列描述与大量心包积液X线征象不符合的是(  )。,心脏普遍增大，心缘各弧消失,心脏搏动减弱或消失,肺淤血改变,卧位透视时见心底阴影增宽,心影大小短期内可明显改变
下列不是肺充血的X线征象的是(  )。,Kerley B线,肺动脉增宽,肺动脉段突出,肺纹理增多,肺门舞蹈
下述Ebstein畸形的诊断要点，错误的是(  )。,右心房明显增大,肺血减少,肺动脉段平直或凹陷,三尖瓣下移畸形,左心房明显增大
肺结核大于5mm的小结节多为(  )。,纤维性病灶,增殖性病灶,干酪性病灶,纤维增殖性病灶,钙化性病灶
"患者男，36岁，低热、咳嗽、咳痰，体重减轻，结合CT图像，最可能的诊断是（   ）。

[jp_ykb_6_2_1.gif]

[jp_ykb_6_2_2.gif]",病毒性肺炎,粟粒型肺结核,矽肺,肺转移癌,细支气管肺泡癌
"患者男，37岁，咳嗽，咯血2个月余，偶尔咳出钙化物，结合影像学检查，最可能的诊断是（   ）。

[jp_ykb_6_3.gif]",畸胎瘤,肺癌,胸腺瘤,淋巴管瘤,淋巴瘤
下列病毒性肺炎影像描述，错误的是(  )。,可有小结节阴影,可有斑片状阴影,可有大片状阴影,肺纹理可增粗,具有特征性影像表现
下列哪种疾病，无肺血减少表现？(  ),法洛四联症,三尖瓣闭锁,房间隔缺损,永存动脉干,大血管转位
10岁，男性，体检发现右下肺有一3cm团块影，CT扫描，肿块为液性密度，边缘光滑，内有小透光区，增强扫描，病变不强化，最可能的诊断为(  )。,右下肺隔离症,右下肺支气管扩张,右下肺结核瘤,右下肺炎性假瘤,右下肺先天性孤立性肺囊肿
过敏性结肠炎的X线表现为(  )。,乙状结肠黏膜皱襞破坏,乙状结肠不规则狭窄,肠袋加深，排钡后见线样征,局部结肠不规则挛缩及多发性小龛影,乙状结肠内不规则充盈缺损
十二指肠溃疡在哪个部位最多见？(  ),水平部,球后部,降部,球部,小弯侧
我国肝癌病理协作组制定的小肝癌诊断标准中规定的单个结节最大的直径是(  )。,＜4.0cm,＜1.0cm,＜3.0cm,＜2.0cm,＜5.0cm
关于脾恶性淋巴瘤的CT表现，错误的是(  )。,不均匀囊实性肿块边缘强化,边缘可不规则隆起,脾大,增强扫描结节显示清楚,多发或单发低密度结节
增殖型肠结核的X线表现主要为(  )。,跳跃征,肠腔扩张,肠管收缩,肠壁增厚,肠管漂浮
关于脾外伤CT检查，下列说法哪一个是不正确的(  )。,脾撕裂伤时可见脾边缘裂纹,伤后即刻做CT平扫检查阴性，可除外脾破裂,应增强扫描以发现包膜下血肿,脾内血肿的密度随时间而变化,脾破裂出血多储积于左侧结肠旁沟
下列肠结核的X线征象中，哪一项是不正确的(  )。,肠道运行正常,盲肠缩窄、收缩及变形,回肠病变近侧端可见钡剂滞留，肠管扩张,回肠末端受侵，黏膜破坏,回盲部可见跳跃征
关于胰腺癌的描述，错误的是(  )。,起源于腺管或腺泡细胞,大多数肿块边界不清,以“围管浸润”方式侵犯胆总管,常形成乳头状息肉突入胆总管内,转移发生较早
Budd-Chiari综合征的主要病理改变是(  )。,肝静脉阻塞,肝动脉阻塞,第一肝门阻塞,门静脉阻塞,胆管阻塞
下列脾脏原发性恶性肿瘤中，哪种最为常见？(  ),脾血管肉瘤,脾原发性腺癌,脾原发性恶性淋巴瘤,脾原发性纤维肉瘤,脾原发性鳞癌
下列哪项是胃溃疡的典型X线征象(  )。,排空慢,黏膜中断破坏,充盈缺损,龛影,胃腔增大
关于肝脏病变不正确的是(  )。,细菌性肝脓肿液化坏死后脓液呈巧克力色，有臭味,肝硬化为肝实质内结缔组织广泛增生，假小叶形成,肝脓肿常包括细菌性和阿米巴性两种,脂肪肝是由于肝细胞内大量脂肪沉积所致,阿米巴性肝脓肿实验室检查粪便中可查到阿米巴滋养体
下列关于肝腺瘤，哪项说法正确？(  ),肿瘤内含胆管,也称肝细胞腺瘤，通常无包膜,肝细胞排列具正常肝小叶结构,镜下主要由肝细胞组成,肿瘤实质内不易出血，可见脂肪
关于肝脏囊腺瘤，错误的是(  )。,常见于30岁以上女性,常无症状,肿瘤起源于肝细胞,肿瘤生长缓慢,肿瘤囊腔与胆管不通
关于淋巴结转移癌，下列描述不正确的是(  )。,T1WI呈等或略高信号，T2WI呈等信号或高信号,淋巴结转移可单发或多发,胃癌、胰腺癌及肾癌常转移至腹膜后淋巴结,淋巴结肿大常大于1.5cm,MRI可以明确判断肿大淋巴结的组织学改变
关节结核的下列哪些描述错误？(  ),关节间隙变窄出现较晚,关节结核多继发于肺结核,好发于持重的大关节,多见于成年人,晚期可发生关节纤维性强直
哪一种改变不能引起继发性椎管狭窄？(  ),黄韧带肥厚,椎间盘向后膨隆,椎间盘后缘骨质增生,椎小关节增生,强直性脊柱炎
关于非骨化性纤维瘤的描述不正确的是(  )。,可多骨发生,肿瘤由坚韧的纤维结缔组织构成,病变的长轴与长骨垂直,好发于青少年的长骨,少数病例可以自愈
前列腺癌常发生骨转移，其表现为(  )。,成骨型、溶骨型,混合型,混合型、溶骨型,成骨型、混合型,成骨型、溶骨型、混合型，以成骨型多见
下述哪种肿瘤来源于骨髓？(  ),软骨肉瘤,骨样骨瘤,骨软骨瘤,尤因肉瘤,骨巨细胞瘤
指出属于软骨类的肿瘤是(  )。,骨瘤,骨软骨瘤,骨巨细胞瘤,非骨化性纤维瘤,骨肉瘤
骨折的愈合过程分为(  )。,炎症期、修复期、塑型期,出血期、修复期、愈合期,血肿机化期、骨痂形成期、改造塑型期,炎症期、修复期、愈合期,连接期、成熟期、塑型期
非骨化纤维瘤的好发部位是(  )。,胫骨近端及股骨远端,脊椎骨,肱骨近端,颅顶骨,胫骨远端及股骨近端
有关最椎间盘变性的叙述，错误的是(   )。,多发生于中老年人,后缘多失去前凹形态,真空征,髓核钙化,可伴有帷间盘突出
卵巢畸胎瘤特征性的X线表现有(  )。,盆腔内软组织肿块,盆腔内牙齿或骨骼,盆腔内钙化,盆壁骨的破坏,盆腔积液
腺性膀胱炎的多发囊样表现多见于哪种病原菌的感染？(  ),链球菌,结核感染,葡萄球菌,大肠杆菌感染,真菌
肾单纯性囊肿一般发生部分是(  )。,肾盂,肾皮质,肾窦,肾髓质,以上都不是
肾上腺疾病中，以下属于肾上腺髓质病变的是(  )。,艾迪生病,库欣综合征,无分泌作用的皮质腺瘤,原发性醛固酮增多症,嗜铬细胞瘤
关于“葡萄胎”病理特点，下述哪项不正确？(  ),绒毛膜促性腺激素分泌增加,半数患者，子宫比同月妊娠大,1/4患者，子宫比同月妊娠小,半数患者，双侧黄体囊肿,多为恶性，易转移
下列哪项无法成为马蹄肾的诊断依据(  )。,多不伴有肾盂肾盏积水后形态异常,双侧肾脏较正常位置低,双肾旋转不良,输尿管在肾脏前面下行，有一定弧度,双肾下极在脊柱前方融合可诊断
中年女性，突发右腰部及右下腹部剧痛，伴恶心，超声显示右肾轻度积水，最可能的诊断是(  )。,右侧输尿管肿瘤,阑尾炎,右侧输尿管结石,右侧附件炎,膀胱结石、膀胱炎
观察前列腺的最佳MRI扫描断面为(  )。,矢状位,冠状位,横轴位,斜位,侧位
肾癌发生转移，最常见转移部位见于(  )。,肝,淋巴结,骨,肺,对侧肾脏
卵巢囊性畸胎瘤的声像图表现，下列哪一项是不正确的(  )。,包膜完整,脂液分层征,液暗区内回声杂乱,液暗区内有许多强回声光团,常伴有腹水
下列哪项有助于鉴别子宫肌瘤与子宫内膜癌(  )。,增强扫描的强化特征,子宫外形和大小,肿瘤轮廓和边缘,肿块大小和密度,以上都不是
鹿角状结石的主要成分是(  )。,草酸钙,磷酸盐类,胱胺酸,黏蛋白基质类,尿酸类
下列疾病肾盂内无充盈缺损的是(  )。,肾盂结石,肾乳头坏死,肾盂癌,肾包膜下水肿,肾盂内血块
哪项是诊断肾动脉狭窄、肾动脉瘤等肾血管疾病的唯一的金标准(  )。,USG检查,血管造影检查,血RA检查,CTA检查,MRI检查
肾错构瘤的影像学表现以下哪一项是正确的(  )。,肿瘤多无脂肪成分,增强后病灶呈均匀一致性强化,病灶边界不清,血管造影多数患者可见不规则扭曲动脉瘤样扩张血管,多不含钙化
CT鉴别小脑星形细胞瘤与血管网状细胞瘤的主要依据是(  )。,囊性变特点,有无壁结节,肿瘤钙化量,瘤周水肿,壁结节增强程度
眼型Grave病最易累及以下哪组眼外肌，使之增粗(  )。,下直肌和内直肌,上直肌和外直肌,下直肌和外直肌,上直肌和内直肌,上直肌和下直肌
肝豆状核变性主要累及的部位是(  )。,尾状核和壳核,苍白球和壳核,丘脑外侧,脑桥和中脑,内囊后肢
"女，25岁，因眼部外伤来院就诊，CT如图所示，最可能的诊断是（   ）。

[jp_ykb_tlwg_2_12.gif]",右侧颧弓骨折伴筛窦积血,右眼眶内侧壁骨折伴筛窦积血,右眼眶外侧壁骨折伴筛窦积血,右眼眶内外侧壁骨折伴筛窦积血,蝶骨骨折伴筛窦积血
“模糊效应”常见于脑梗死发生后(  )。,第1周,第2～3周,第5周,第7周,第9周
神经纤维瘤病Ⅱ型的主要表现包括(  )。,多发性脊柱神经鞘瘤,双侧听神经瘤,视神经纤维瘤,双侧三叉神经纤维瘤,多发性脑膜瘤
以下哪一项是硬膜下血肿的CT征象(  )。,颅骨内板下凸透镜样高密度影,邻近脑沟增宽,血肿多不跨越颅缝,血肿不跨越中线,脑沟内可见高密度
"患者女性，49岁，头痛。MRI表现如图最可能的诊断是I（   ）。

[jp_ykb_tlwg_1_1.gif]",脑积水,硬膜下血肿,Dandy-Walker综合征,硬膜下积液,蛛网膜囊肿
脑白质、灰质同时受累者，多见于(  )。,白质老化,血管源性脑水肿,间质性脑水肿,细胞毒素水肿,以上都不是
鼻咽癌向颅内转移的最常见途径是(  )。,破裂孔,卵圆孔,眶下裂,颈静脉孔,棘孔
颅内最常见的恶性肿瘤是(  )。,神经胶质瘤,脑膜瘤,转移性瘤,血管母细胞瘤,先天性肿瘤
男，50岁，CT片示左上颌窦内软组织肿块，无骨质破坏，无淋巴结肿大及远处转移，病理诊断为上颌窦癌。请判断其TNM分期(  )。,T1N0M0,T2N0M0,T1N1M0,T2N1M0,T1N1M1
眼直肌增粗，最常见于下列哪种疾病(  )。,肢端肥大症,眼眶蜂窝织炎,突眼性甲状腺肿,结节病,炎性假瘤
副鼻窦黏液囊肿(  )。,是恶性病变,由黏液腺分泌阻塞引起,由副鼻窦口阻塞引起,有骨质破坏，呈气样密度,CT增强扫描有明显增强
内分泌性突眼CT表现正确的是(  )。,泪腺增大,眼球壁增厚,视神经增粗,眼外肌增厚以肌腱附着处明显,眼外肌增厚以肌腹肥厚为著
颞骨外伤常见的症状除外(  )。,面瘫,出血,耳聋,耳漏,呕吐
患儿，男，9个月。左眼视力差。CT图像示左眼球内不规则软组织肿块，内有钙化，肿块呈轻度强化，应诊断为(  )。,脉络膜血管瘤,视网膜炎,视网膜母细胞瘤,黑色素瘤,视网膜剥离
下列哪项不符合Ⅱ级星形细胞瘤与胶质母细胞瘤的CT鉴别点(  )。,病灶占位效应,病灶强化程度,病灶是否均匀强化,病灶形态大小,病灶液化坏死
颅咽管瘤的颅骨X线表现是(  )。,蝶鞍球形扩大,颅壁骨质破坏,鞍区钙化斑,脑膜中动脉压迹增宽,蝶鞍变圆，鞍背延长
最有利于脑外肿瘤定位的CT表现为(  )。,边界不清楚,脑皮质受压内移,明显增强,中线移位,颅骨变薄
CR的图像处理功能，不包括,灰阶处理,窗位处理,时间减影处理,能量减影处理,磁信号处理与分析
CT的密度分辨率,是在高对比度情况下分辨物体微小差别的能力,又称为低对比度分辨率,以百分率表示,增加层厚光子数，密度分辨率降低,与测量时使用的剂量无关
下列关于矩阵的概念，哪一项是错误的,表示一个横竖排列的数字阵列,矩阵的大小表示单位面积内像素数目的多少,矩阵大，提示像素小，图像分辨率,矩阵大，提示像素大，图像分辨率高,显示矩阵是指像素以三维图像的排列阵列
以下有关CT值不正确的描述为,物质的CT值反映物质的密度，CT值高则密度高,CT值大小与组织的线性衰减系数有关,钙化CT值：80～300Hu,脂肪CT值：15～55Hu,密质骨CT值>250Hu
减少和减轻造影剂不良反应发生的措施，错误的是,对具有高危因素的患者应特别注意,选用离子型造影剂,术前联合应用皮质激素和抗组胺药物,尽量减少造影剂用量,注意观察和及时处理
